Mes0407	=#{	DE
0000	1782
0001	OK
0002	Stornieren
0003	Abbruch (&A)
0004	Wiederholen (&R)
0005	Ignoriere (&I)
0006	Ja (&Y)
0007	Nicht)
7005	Extname (&E)
7007	Option (&O)
7011	Ausführen
7012	Warten Sie auf PPb ...
7013	Mit Selbst ausführen (&s)
7014	Mit neuem PPb ausführen (&n)
7018	Geben Sie das Anmeldekennwort ein
7019	Pfad
701D	Beim erneuten Anmelden verbinden (&C)
701E	Benutzername (&U)
701F	Passwort (&P)
7020	Dateivorgänge
7022	Nur neues Datum (&n)
7023	Umbenennen (&R)
7024	Überschreiben (&O)
7025	Überspringen (&S)
7026	Mit Archiv (&a)
7027	Nummer hinzufügen (&b)
7028	Anhängen (&p)
7029	Alle die gleiche Aktion (&W)
702A	Großbuchstaben (&U)
702B	Kleinbuchstaben (&L)
702C	Forced 8.3 (&F)
702D	Falsches Leerzeichen löschen (&g)
702E	Zahlen löschen
702F	Readonly (&R)
7030	Archiv (&A)
7031	Versteckt (&H)
7032	System (&X)
7034	Sicherheitsattribut kopieren (&e)
7035	sKip leichter Fehler (&K)
7036	Automatische Überprüfung 'Alle' (&u)
703F	Aktion mit demselben Namen
7040	Namensfilter
7041	Attribute
7042	Dest (&D)
7043	Umbenennen (&e)
7044	Größe teilen (&v)
7045	Seriennummer (&N)
7047	Kopieren Sie SACL (&C)
7048	Verzeichnis (&D)
7049	Burst / Selbstpufferung (&g)
704A	Flach / mach keinen Baum (&l)
704B	Verzeichnisse aufbewahren (&K)
704C	loG Fenster (&G)
704D	Protokoll rückgängig machen (&U)
704E	Extrahiere '%' (&a)
704F	AutoReadonly Off (&O)
7050	Alte Datei sichern (&V)
7051	1. Blatt (&s)
7052	Dateiname (&n)
7053	Dir Name Fix (&D)
7054	Stille Warnung vor neuem Verzeichnis (&S)
7055	Niedrige Priorität (&L)
7056	Quelleneintrag
7057	Zieleingabe
7058	Attribut \nDateigröße \nErstellungszeit \nSchreibzeit \nZugriffszeit
7059	keine Wartezeit mit Ergebnis (&R)
705A	&3: Option
705C	&2: Umbenennen
705E	&1. Allgemeines
7062	Verwenden Sie alle Reaktionen (&U)
